Runtime (seconds): 0.06179976463317871
Mean E2E delay (seconds): 7.80501725372886e-05
Maximum E2E delay (seconds) per flow: 9.293000016695347e-05
E2E delay per flow:
Flow 0: 9.293000016695347e-05 seconds
Flow 1: 6.026500007804157e-05 seconds
Flow 2: 7.207500011025889e-05 seconds
Flow 3: 9.293000016161954e-05 seconds
Flow 4: 9.293000016187441e-05 seconds
Flow 5: 5.914500007118499e-05 seconds
Flow 6: 7.138500010347323e-05 seconds
Flow 7: 9.293000016121904e-05 seconds
Flow 8: 5.952500007348321e-05 seconds
Flow 9: 9.293000016637092e-05 seconds
Flow 10: 5.844000006699768e-05 seconds
Flow 11: 9.293000016487815e-05 seconds
Flow 12: 6.063000008033029e-05 seconds
Flow 13: 9.293000016336718e-05 seconds
Flow 14: 5.885500006945051e-05 seconds
Flow 15: 9.293000016171056e-05 seconds
Flow 16: 7.315500011260059e-05 seconds
Flow 17: 9.293000016047265e-05 seconds
Flow 18: 9.293000016309411e-05 seconds
Flow 19: 7.136500010781344e-05 seconds
Flow 20: 7.203500010262347e-05 seconds
Flow 21: 9.293000016283926e-05 seconds
Flow 22: 9.293000016431381e-05 seconds
Flow 23: 7.178000010548297e-05 seconds
Flow 24: 7.30500001100715e-05 seconds
Flow 25: 6.062500008029876e-05 seconds
Flow 26: 9.293000016267541e-05 seconds
Flow 27: 5.942000007284529e-05 seconds
Flow 28: 7.361500011502396e-05 seconds
